"category","강남구.개포1동","강남구.개포2동","강남구.개포4동","강남구.논현1동","강남구.논현2동","강남구.대치1동","강남구.대치2동","강남구.대치4동","강남구.도곡1동","강남구.도곡2동","강남구.삼성1동","강남구.삼성2동","강남구.세곡동","강남구.수서동","강남구.신사동","강남구.압구정동","강남구.역삼1동","강남구.역삼2동","강남구.일원1동","강남구.일원2동","강남구.일원본동","강남구.청담동","강동구.강일동","강동구.고덕1동","강동구.길동","강동구.둔촌1동","강동구.둔촌2동","강동구.명일1동","강동구.명일2동","강동구.상일동","강동구.성내1동","강동구.성내2동","강동구.성내3동","강동구.암사1동","강동구.암사2동","강동구.암사3동","강동구.천호1동","강동구.천호2동","강동구.천호3동","강북구.미아동","강북구.번1동","강북구.번3동","강북구.삼각산동","강북구.삼양동","강북구.송중동","강북구.송천동","강북구.수유1동","강북구.수유2동","강북구.수유3동","강북구.우이동","강북구.인수동","강서구.가양1동","강서구.가양2동","강서구.가양3동","강서구.공항동","강서구.등촌1동","강서구.등촌2동","강서구.등촌3동","강서구.발산1동","강서구.방화1동","강서구.방화2동","강서구.방화3동","강서구.염창동","강서구.우장산동","강서구.화곡1동","강서구.화곡3동","강서구.화곡4동","강서구.화곡6동","강서구.화곡8동","강서구.화곡본동","관악구.낙성대동","관악구.난곡동","관악구.대학동","관악구.미성동","관악구.보라매동","관악구.삼성동","관악구.서림동","관악구.성현동","관악구.신림동","관악구.신사동","관악구.신원동","관악구.은천동","관악구.인헌동","관악구.중앙동","관악구.청룡동","관악구.청림동","관악구.행운동","광진구.광장동","광진구.구의1동","광진구.구의2동","광진구.구의3동","광진구.군자동","광진구.능동","광진구.자양1동","광진구.자양2동","광진구.자양3동","광진구.자양4동","광진구.중곡2동","광진구.중곡3동","광진구.중곡4동","광진구.화양동","구로구.가리봉동","구로구.개봉1동","구로구.개봉2동","구로구.개봉3동","구로구.고척1동","구로구.고척2동","구로구.구로1동","구로구.구로2동","구로구.구로3동","구로구.구로4동","구로구.구로5동","구로구.수궁동","구로구.신도림동","구로구.오류1동","구로구.오류2동","구로구.항동","금천구.가산동","금천구.독산1동","금천구.독산2동","금천구.독산3동","금천구.독산4동","금천구.시흥1동","금천구.시흥2동","금천구.시흥3동","금천구.시흥4동","금천구.시흥5동","노원구.공릉1동","노원구.공릉2동","노원구.상계10동","노원구.상계1동","노원구.상계2동","노원구.상계3·4동","노원구.상계5동","노원구.상계6·7동","노원구.상계8동","노원구.상계9동","노원구.월계1동","노원구.월계2동","노원구.월계3동","노원구.중계1동","노원구.중계2·3동","노원구.중계4동","노원구.중계본동","노원구.하계1동","도봉구.도봉1동","도봉구.도봉2동","도봉구.방학1동","도봉구.방학2동","도봉구.방학3동","도봉구.쌍문1동","도봉구.쌍문2동","도봉구.쌍문3동","도봉구.쌍문4동","도봉구.창1동","도봉구.창2동","도봉구.창3동","도봉구.창4동","도봉구.창5동","동대문구.답십리1동","동대문구.답십리2동","동대문구.용신동","동대문구.이문1동","동대문구.이문2동","동대문구.장안1동","동대문구.장안2동","동대문구.전농1동","동대문구.제기동","동대문구.청량리동","동대문구.회기동","동대문구.휘경1동","동대문구.휘경2동","동작구.노량진1동","동작구.노량진2동","동작구.대방동","동작구.사당1동","동작구.사당2동","동작구.사당3동","동작구.사당4동","동작구.사당5동","동작구.상도1동","동작구.상도2동","동작구.상도3동","동작구.상도4동","동작구.신대방1동","동작구.신대방2동","동작구.흑석동","마포구.공덕동","마포구.대흥동","마포구.도화동","마포구.망원1동","마포구.망원2동","마포구.상암동","마포구.서강동","마포구.서교동","마포구.성산1동","마포구.성산2동","마포구.신수동","마포구.아현동","마포구.연남동","마포구.용강동","마포구.합정동","서대문구.남가좌1동","서대문구.남가좌2동","서대문구.북가좌1동","서대문구.북가좌2동","서대문구.북아현동","서대문구.신촌동","서대문구.연희동","서대문구.천연동","서대문구.충현동","서대문구.홍은1동","서대문구.홍은2동","서대문구.홍제1동","서대문구.홍제2동","서대문구.홍제3동","서초구.내곡동","서초구.반포1동","서초구.반포2동","서초구.반포3동","서초구.반포4동","서초구.반포본동","서초구.방배1동","서초구.방배2동","서초구.방배3동","서초구.방배4동","서초구.방배본동","서초구.서초1동","서초구.서초2동","서초구.서초3동","서초구.서초4동","서초구.양재1동","서초구.양재2동","서초구.잠원동","성동구.금호1가동","성동구.금호2·3가동","성동구.금호4가동","성동구.마장동","성동구.사근동","성동구.성수1가1동","성동구.성수1가2동","성동구.성수2가1동","성동구.성수2가3동","성동구.송정동","성동구.옥수동","성동구.왕십리2동","성동구.왕십리도선동","성동구.용답동","성동구.응봉동","성동구.행당1동","성동구.행당2동","성북구.길음1동","성북구.길음2동","성북구.돈암1동","성북구.돈암2동","성북구.동선동","성북구.삼선동","성북구.석관동","성북구.성북동","성북구.안암동","성북구.월곡1동","성북구.월곡2동","성북구.장위1동","성북구.장위2동","성북구.장위3동","성북구.정릉1동","성북구.정릉2동","성북구.정릉3동","성북구.정릉4동","성북구.종암동","송파구.가락1동","송파구.가락2동","송파구.가락본동","송파구.거여1동","송파구.거여2동","송파구.마천1동","송파구.마천2동","송파구.문정2동","송파구.방이1동","송파구.방이2동","송파구.삼전동","송파구.석촌동","송파구.송파1동","송파구.송파2동","송파구.오금동","송파구.오륜동","송파구.위례동","송파구.잠실2동","송파구.잠실3동","송파구.잠실4동","송파구.잠실6동","송파구.잠실7동","송파구.잠실본동","송파구.장지동","송파구.풍납1동","송파구.풍납2동","양천구.목1동","양천구.목2동","양천구.목3동","양천구.목4동","양천구.목5동","양천구.신월1동","양천구.신월2동","양천구.신월3동","양천구.신월4동","양천구.신월6동","양천구.신월7동","양천구.신정1동","양천구.신정2동","양천구.신정3동","양천구.신정4동","양천구.신정6동","양천구.신정7동","영등포구.당산1동","영등포구.당산2동","영등포구.대림3동","영등포구.문래동","영등포구.신길1동","영등포구.신길5동","영등포구.신길6동","영등포구.신길7동","영등포구.양평1동","영등포구.양평2동","영등포구.여의동","영등포구.영등포동","영등포구.영등포본동","용산구.남영동","용산구.보광동","용산구.서빙고동","용산구.용문동","용산구.용산2가동","용산구.원효로1동","용산구.원효로2동","용산구.이촌1동","용산구.이촌2동","용산구.이태원1동","용산구.이태원2동","용산구.청파동","용산구.한강로동","용산구.한남동","용산구.효창동","용산구.후암동","은평구.갈현1동","은평구.갈현2동","은평구.구산동","은평구.녹번동","은평구.대조동","은평구.불광1동","은평구.불광2동","은평구.수색동","은평구.신사1동","은평구.신사2동","은평구.역촌동","은평구.응암1동","은평구.응암2동","은평구.응암3동","은평구.증산동","은평구.진관동","종로구.가회동","종로구.교남동","종로구.무악동","종로구.부암동","종로구.사직동","종로구.삼청동","종로구.숭인1동","종로구.숭인2동","종로구.이화동","종로구.종로1·2·3·4가동","종로구.종로5·6가동","종로구.창신1동","종로구.창신2동","종로구.창신3동","종로구.청운효자동","종로구.평창동","종로구.혜화동","중구.광희동","중구.다산동","중구.동화동","중구.명동","중구.소공동","중구.신당5동","중구.신당동","중구.약수동","중구.을지로동","중구.장충동","중구.중림동","중구.청구동","중구.필동","중구.황학동","중구.회현동","중랑구.망우3동","중랑구.망우본동","중랑구.면목2동","중랑구.면목3·8동","중랑구.면목4동","중랑구.면목5동","중랑구.면목7동","중랑구.면목본동","중랑구.묵1동","중랑구.묵2동","중랑구.상봉1동","중랑구.상봉2동","중랑구.신내1동","중랑구.신내2동","중랑구.중화1동","중랑구.중화2동"
"분식",0,3380,408,640,1033,3590,470,1498,1472,1942,5075,562,152,1027,893,844,1207,576,0,103,0,0,442,0,0,0,791,373,4435,226,735,732,0,988,0,0,0,0,1025,790,704,989,775,271,417,479,527,632,681,220,127,330,946,0,680,751,481,955,699,629,270,1478,1187,35,321,364,359,150,679,479,658,0,469,167,1048,821,78,515,0,0,0,0,923,567,0,0,553,0,511,948,1408,730,0,449,254,400,411,0,0,725,0,0,63,856,235,1235,0,451,0,0,382,0,765,410,1877,931,0,1444,617,374,335,405,827,56,172,326,434,0,1008,624,630,0,335,0,1001,0,2257,767,0,0,0,709,528,1642,0,536,0,687,356,108,1235,0,0,954,1127,356,0,580,2225,0,591,376,317,10,566,527,1182,272,391,453,1463,336,1495,0,0,1166,1312,0,1398,0,657,1729,1995,0,396,1016,839,398,707,1202,0,303,1292,354,879,159,558,537,282,0,1173,0,712,234,35,269,0,708,1104,471,338,306,649,565,546,1085,0,0,0,904,0,4390,1002,151,595,525,0,0,717,0,1309,1217,0,950,0,0,611,416,1547,808,0,374,0,0,475,0,97,416,15,0,934,248,100,40,781,1079,0,270,545,573,1157,1012,0,0,0,100,259,66,436,374,312,756,884,0,711,0,0,0,255,936,928,705,252,441,0,0,0,2037,1001,445,1899,0,1077,734,0,0,319,603,0,378,2096,0,772,531,2396,706,0,644,306,0,345,705,1539,628,1247,616,700,334,570,436,676,263,686,996,646,483,612,289,1251,518,645,693,203,1208,275,255,189,789,779,582,538,1149,681,797,552,314,0,558,849,0,523,136,690,0,0,307,200,14,1332,0,0,376,1154,1626,271,307,981,887,1147,315,456,0,1085,730,2406,507,782,138,800,1684,448,2198,1105,518,262,333,40,758,741,1384,646,523,259,682,102,906,486,457,460,328,95,590,467,1229,921,346
"양식",0,792,90,527,0,1137,1016,1037,0,2614,3991,2209,0,1526,0,2826,0,0,0,490,0,0,0,0,35,0,2081,563,2139,476,762,210,292,23,0,909,0,0,115,482,0,0,0,0,1963,1444,0,0,194,114,0,352,0,0,0,1075,0,147,25,0,0,0,1137,20,194,57,43,0,505,0,1181,0,251,349,397,0,0,95,52,0,0,0,39,948,2536,0,12,0,26,0,1777,964,779,0,0,1762,354,0,163,2819,855,0,24,0,0,769,0,0,300,1071,0,401,0,1825,71,52,0,2257,159,0,0,0,0,564,0,0,0,322,857,0,121,618,0,51,10089,0,1973,0,0,0,4139,411,349,3357,0,0,123,3577,0,0,267,475,0,0,0,265,0,0,0,0,148,883,535,0,0,1124,0,1204,18,879,5719,0,1110,264,0,1653,576,294,0,0,601,132,0,0,0,1876,641,1230,269,253,382,0,1171,918,1339,309,0,317,0,813,94,1074,0,312,0,800,306,1178,1076,0,1405,0,455,215,0,0,0,678,0,1252,2254,0,5698,0,0,1141,1938,1092,2965,0,0,1735,846,0,0,0,0,0,621,421,274,414,338,0,950,0,433,0,0,0,0,0,295,0,0,420,856,34,1373,665,0,445,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,2077,512,1066,1392,608,700,944,0,2655,0,1987,0,0,0,0,1081,0,0,0,161,202,171,0,1108,0,0,0,0,0,0,39,2022,22,80,0,2,76,227,0,1019,0,0,678,0,0,368,3149,3173,0,737,26,0,980,1758,53,0,3770,0,2521,0,673,615,2268,0,1486,481,452,4,0,3391,0,0,0,144,0,0,1219,0,0,0,0,4096,0,0,962,2109,3863,0,372,1627,2221,1418,1642,268,0,1450,401,1748,1302,659,0,2391,3794,113,41,159,191,2163,991,0,1561,289,1242,0,0,0,137,0,0,6,75,224,0,0,0,0,0,0,0
"일식",0,1511,0,1713,2096,2041,1853,2144,2199,3038,6360,1795,1278,4759,0,1689,2480,977,1808,156,0,1414,167,0,435,0,0,487,3243,525,0,344,812,260,0,0,0,2276,489,627,1501,983,0,0,406,0,0,0,848,135,0,233,0,0,1118,847,0,1377,285,333,0,1129,0,399,847,0,0,655,0,0,1321,0,796,0,0,0,439,482,201,101,0,377,0,2550,569,0,111,0,976,624,1333,916,1217,0,0,1529,0,705,0,773,1010,0,0,0,184,747,230,0,787,2019,871,1800,0,2921,0,693,0,1798,817,0,0,406,341,0,0,0,994,0,448,5377,615,452,0,88,1884,1500,0,755,0,0,0,1167,0,1735,670,90,390,172,0,0,1090,141,878,0,1420,1509,0,639,1793,0,0,668,886,0,516,537,24,30,438,1255,478,0,329,0,1999,1585,1310,80,433,469,1226,294,315,2600,0,0,967,980,375,1934,330,0,1551,1462,1775,622,1006,0,0,0,0,0,0,402,0,116,0,1705,1470,590,1237,125,401,0,488,206,0,0,0,1885,2374,0,0,0,0,0,1192,2210,1846,2430,3685,1220,2141,1409,0,341,0,0,608,12,292,132,0,4313,324,607,720,1998,0,937,1267,0,0,0,0,1271,391,191,1269,372,0,194,0,568,0,0,0,82,0,185,0,315,439,0,0,0,0,2075,0,917,0,0,591,0,1812,0,695,0,0,0,2121,1499,2540,0,0,0,866,0,928,0,327,334,0,0,0,322,0,1184,49,0,914,0,402,708,330,0,630,451,0,64,0,386,1262,4227,1659,0,1307,0,0,0,0,397,482,2518,0,348,475,958,663,1379,0,130,452,1702,0,796,215,0,375,0,405,0,324,221,277,294,0,1012,2747,0,0,0,1888,3,0,1708,2109,3232,465,0,0,0,1131,0,2418,1143,1702,0,3297,3400,681,3540,2056,632,2267,0,0,1777,0,4150,0,71,221,339,0,0,124,247,201,0,0,3334,1426,1753,0,486
"제과점",0,162,347,813,887,4881,1345,1042,2796,2284,1920,916,1608,808,1226,1190,1633,5355,1093,0,0,1172,1741,0,1992,0,1392,0,0,0,705,0,2780,948,0,4248,2933,712,0,1332,3433,3136,433,998,3484,1951,0,1892,764,1662,0,1689,94,1983,0,5374,1659,2065,948,1375,0,0,2798,722,1781,1046,370,2059,2171,2106,3862,1607,2239,1831,1232,0,0,886,0,0,0,833,0,4646,1567,0,0,2611,866,684,1130,1686,1817,346,1181,867,994,1546,2169,966,2652,0,4080,2218,1722,764,810,0,0,2040,0,3610,0,425,3580,2402,0,1133,719,1366,1634,2324,3792,0,3646,420,1917,501,0,0,617,1614,0,0,1864,0,2606,0,0,0,1078,2124,4329,1398,2493,0,786,3168,973,357,2364,1166,1241,0,3692,617,556,3756,1790,429,1921,2459,3183,1169,1109,0,92,375,903,1196,2908,0,891,2131,0,2054,2528,1960,0,0,2152,551,3033,0,0,1377,1761,0,906,0,0,1073,1957,0,1265,3,1604,1899,404,134,0,692,0,1742,0,1430,459,902,892,534,912,0,0,688,869,989,0,0,0,999,2160,0,948,675,7915,1249,0,0,0,3025,1365,0,2812,524,0,1116,0,0,2503,1034,99,543,0,0,120,1073,0,4153,0,995,664,242,1185,0,3398,724,282,0,144,2745,1795,932,0,0,0,2417,649,648,850,1872,0,1642,1190,0,0,0,0,2020,2468,0,2406,536,569,3233,0,0,230,2511,2868,0,7026,2971,1540,1802,1177,0,1222,1027,0,2422,742,1788,986,3245,1414,0,2064,430,2195,1647,1637,0,2560,552,0,2146,2267,3082,23250,2125,1726,1041,279,2646,946,303,549,0,0,286,995,717,438,1905,0,2077,8,1409,325,129,3267,1288,486,1141,216,0,4023,805,2507,0,606,439,0,1785,0,1948,2355,186,2655,454,4009,1492,1502,2326,0,2252,2637,1893,351,361,34,0,1398,2353,1384,883,4854,0,4177,1220,3973,552,2225,1220,2962,138,1931,1422,1698,1848,10014,956,2552,0,0,0,2185,799,1545,36,0,3438,432,5043,0,2080
"중식",0,1147,5617,2491,1688,5673,4952,2537,1397,420,13024,1932,847,1873,2610,1594,2272,1083,2005,1316,0,4297,0,308,993,0,596,109,0,1277,1514,3218,434,475,0,0,232,973,629,468,1054,806,923,273,1693,1409,968,165,535,133,953,298,1485,5187,1708,530,0,1292,148,771,2515,13150,0,391,897,0,298,318,213,546,1759,0,689,162,1037,1189,951,373,430,152,223,590,926,1954,129,511,632,8453,880,636,0,2092,0,1751,1459,3309,2143,864,1143,745,781,679,432,165,176,1517,491,0,791,0,1157,0,1222,0,258,923,0,2165,619,495,1061,768,620,0,528,797,701,901,807,3750,0,1166,672,549,1409,1801,0,154,0,735,0,960,1097,777,2171,950,1945,1112,875,575,1583,0,1008,1164,1464,983,737,639,0,0,1572,971,2253,1432,1531,680,0,831,926,461,0,0,530,841,1949,1584,3753,0,149,1761,1372,367,0,1844,0,1607,0,0,512,2516,1331,3093,0,1370,1574,1310,526,1938,2397,0,2048,2483,134,957,0,2158,0,2074,3250,192,0,630,203,415,731,0,697,2534,0,0,511,0,2043,3138,0,0,0,3592,0,3195,0,2784,2866,2500,0,1305,520,0,1406,2582,1245,1475,0,336,0,0,428,778,0,287,0,1018,624,5478,0,780,948,100,0,0,0,1208,0,0,0,161,0,542,0,0,0,2305,1312,877,4133,1470,1457,640,442,0,0,2001,270,503,1225,0,49,0,0,0,1053,0,0,3253,275,0,1399,0,408,0,430,1026,230,2218,1904,800,356,0,1085,2002,0,0,263,941,1430,2546,673,3634,245,381,891,1320,1380,3872,2435,492,1351,0,1179,0,927,0,0,5003,539,0,376,2800,564,1928,0,1103,1623,0,788,0,588,2044,4434,1357,2662,0,375,0,0,996,145,0,0,2626,0,557,2913,0,0,1158,1857,3297,990,2228,0,0,1026,3464,1155,479,2165,726,3177,0,1352,660,0,995,2372,849,3707,4608,0,0,628,1225,596,880,557,544,1295,1594,582,3486,821,313,798,1256,0,286
"치킨",0,591,0,363,1090,984,2120,1716,1672,950,1673,1419,538,0,1583,0,1777,1133,1687,0,0,1316,0,0,926,0,0,736,1316,452,0,0,386,404,0,1267,0,506,84,197,815,538,626,85,243,1085,83,923,601,381,184,156,0,0,562,1205,441,2372,513,465,0,768,0,0,0,1126,0,0,0,550,0,2027,1292,556,852,0,0,200,375,0,0,192,0,1242,510,0,0,660,502,706,0,441,2140,0,291,547,281,21,0,0,1302,0,521,142,461,571,251,264,280,414,845,619,511,944,201,0,0,1241,61,308,371,661,730,814,564,565,454,0,904,0,986,505,1851,261,525,824,887,404,0,0,0,1190,1979,444,0,508,140,438,310,246,45,242,341,0,0,1465,0,791,534,275,0,1023,382,160,588,575,0,509,0,0,878,136,622,528,212,883,1122,0,975,0,1443,510,1081,411,0,782,562,735,0,0,822,552,1374,123,758,732,1186,172,214,599,546,1134,0,0,0,599,881,1430,534,209,943,460,403,400,0,262,0,1627,0,4652,0,0,0,1085,327,0,988,1428,3210,0,0,2183,2933,1403,606,595,420,1323,2700,285,37,689,1780,0,1544,402,0,0,616,278,0,825,123,169,0,0,207,228,1552,1968,241,304,109,421,0,1872,263,724,0,760,0,475,1602,258,1320,271,0,2004,0,0,0,693,0,0,1198,0,0,431,815,0,0,555,1490,119,0,791,2619,1282,256,752,579,663,261,159,627,0,0,429,1072,442,570,818,0,192,1111,519,223,402,683,304,661,100,582,2172,1823,856,563,746,0,423,258,434,0,2514,475,0,0,162,1370,3643,0,980,0,453,0,315,43,623,461,0,546,482,525,345,245,555,369,0,2615,51,0,0,2539,0,0,512,2148,2207,1624,1431,1284,782,0,893,913,494,10,2791,1782,3009,272,919,40,2497,2357,889,32,1349,323,1047,330,319,12,185,50,217,428,581,228,43,91,532,525,1221,196,148
"커피",0,628,564,0,1220,4990,1356,1799,648,2571,2082,1208,1138,1925,0,1227,2353,940,916,477,2472,957,2468,70,972,0,478,671,1868,1027,569,295,376,259,350,754,492,570,198,591,508,424,377,54,576,353,156,85,668,1038,510,0,0,803,316,0,327,728,631,354,220,986,0,531,883,1036,445,0,346,264,0,856,1030,307,907,13,547,0,747,92,180,377,0,0,418,0,593,318,461,249,844,681,1045,205,419,2270,369,271,581,987,1142,169,409,0,253,780,237,238,601,1190,634,0,437,715,610,357,0,1287,432,156,138,295,697,459,137,487,246,853,574,199,580,1905,557,437,0,1882,2243,542,163,45,0,1646,505,496,1034,1199,414,659,521,538,522,298,530,738,828,167,75,756,569,480,632,501,1681,208,477,646,524,128,713,1113,399,91,695,821,0,0,0,250,0,558,1127,409,334,327,391,0,1047,388,689,2435,0,315,0,1030,1316,362,0,0,1133,0,490,0,0,349,0,453,25,1368,929,414,762,309,634,283,808,172,665,0,0,1102,1345,0,1543,0,407,1195,0,814,0,1532,0,1136,1886,0,186,359,159,757,1072,602,1192,955,0,251,514,183,254,604,509,619,121,75,958,2,2240,2008,338,0,577,1303,0,729,0,103,343,374,318,172,455,852,1152,478,752,0,590,0,0,0,346,1223,646,1068,700,664,538,911,0,3755,1522,265,2955,239,1361,712,0,0,0,282,565,140,1178,180,0,0,0,121,285,0,0,0,485,1349,680,622,2052,490,1004,545,268,601,519,481,939,2590,1299,325,1116,379,75,128,597,715,524,350,0,1957,466,889,731,1198,281,760,404,0,479,270,0,636,106,0,608,0,215,311,0,305,0,295,1916,162,13,665,2097,3269,112,591,1614,2086,1139,893,431,420,1548,568,789,771,502,144,3011,3320,221,605,776,1091,961,687,691,1209,940,2456,124,289,230,628,382,0,0,385,547,331,161,602,587,619,103,111
"패스트푸드",0,562,0,957,0,0,2664,1111,0,350,2911,0,389,2941,1070,313,0,0,1311,110,5199,0,1758,0,163,0,6283,0,626,642,661,469,1126,0,0,108,0,354,0,608,1157,0,775,1461,136,414,24,741,32,649,98,0,11,0,2338,1984,171,2202,0,0,0,423,428,826,627,28,0,0,0,0,505,0,281,0,0,2555,1252,0,0,0,0,0,234,1080,603,0,0,52,542,0,1252,85,361,484,469,0,1295,0,0,6558,1655,116,110,1155,157,1029,0,187,2107,1928,313,645,109,1137,3655,533,0,1503,623,211,456,432,785,0,0,588,326,137,1170,0,593,922,286,129,693,196,1543,2179,0,0,0,2187,1500,0,4103,2533,748,218,456,0,3297,1842,746,0,1772,787,0,558,681,159,458,1553,305,0,0,839,511,0,603,924,0,85,1619,190,0,814,661,0,867,3942,1554,110,0,314,0,865,1179,231,182,670,1395,0,2120,55,996,415,480,187,0,0,234,1317,0,1308,23,272,388,1466,0,1115,1125,11,0,918,0,2241,0,1390,0,116,0,0,1585,88,0,224,1074,0,1180,932,0,1529,0,394,0,934,261,0,1680,128,475,418,0,326,186,0,16,2477,0,0,469,0,126,101,93,516,976,1009,1049,979,121,1082,0,0,348,13,2034,111,657,714,0,0,0,0,3554,1502,0,1220,0,1075,406,169,1195,0,0,0,376,0,7808,0,1726,0,2266,0,0,1680,724,0,875,501,2479,94,2071,723,4728,2648,720,1029,413,1259,1581,0,515,331,350,272,1030,874,0,108,6992,73,497,852,1652,7817,878,113,0,415,1563,445,0,1821,226,5560,78,670,719,485,671,527,1580,2362,2731,31,0,203,0,532,2438,1341,690,634,1206,77,550,57,1842,0,3007,740,931,1271,365,283,1296,1140,803,250,0,0,0,0,740,545,1384,0,1084,1672,1318,2538,122,58,841,0,552,237,0,707,1214,480,0,400,219,24,70,248,466,0,8217,875,187,425,45,405
"한식",178,2923,3712,0,3412,2972,2631,4226,2202,3472,0,0,1841,3268,0,3242,3043,1683,3003,344,2711,3180,1376,1692,1958,0,2058,2105,2840,1616,2372,1754,1564,1504,3581,2074,903,2260,1617,1441,1834,1726,1063,1091,2313,1192,1350,1985,1973,2962,1312,0,0,0,0,0,2041,2092,879,1888,1850,1006,0,1419,1610,1497,1113,0,1367,1469,2379,1128,1287,1082,1201,619,1009,200,2602,0,725,1739,1605,2031,1715,390,1882,2082,2048,2222,2377,1983,4379,1546,1468,2436,1879,2013,786,1404,2375,670,1387,0,1094,2397,0,1758,0,2928,1131,0,0,1593,1530,1055,0,2102,1490,1292,1404,1278,1836,521,1129,894,1633,2302,1879,1043,0,2543,1203,943,2053,1687,1589,1762,396,2552,136,1662,3191,1487,1733,1684,1175,1220,1227,3429,554,1302,2029,3998,1403,1378,1539,2367,1663,1839,0,1761,1540,0,1964,1714,846,1650,2011,1877,1479,1066,1177,3927,2369,0,2771,1673,1147,899,1757,1119,1983,2083,0,2133,1829,2174,1555,3084,2174,1089,1918,1077,2488,1915,1548,957,1193,1571,3179,2568,1181,1304,177,2339,1158,2185,2761,1661,0,1646,1824,1876,0,1297,1921,1914,1432,4032,2621,188,0,0,2810,3674,2173,2805,3647,3505,3975,0,2873,3257,1082,1395,1775,0,2096,1935,3138,0,2961,0,780,1375,1799,0,1067,3093,1079,575,1106,668,1752,1958,1938,2502,3106,2705,982,1575,1494,1257,988,1301,2136,1447,1647,1920,5383,2351,2186,1730,3153,619,1292,1218,0,4195,0,2620,0,0,2872,0,222,5914,1262,730,2005,367,2987,2795,0,0,2758,2089,1436,1101,1393,1110,1417,609,1242,1676,1057,1891,0,1294,1975,541,0,1991,0,1535,2613,1906,965,3276,1040,0,0,3944,2447,1920,3824,1473,1135,1940,1280,2461,1006,1692,404,2030,1395,1899,2934,3229,1416,2213,1919,1427,760,2435,1380,2038,0,1165,1763,655,1030,2511,750,1626,680,2290,3802,1952,0,1047,3399,4542,992,0,2671,0,0,0,0,440,1559,1733,0,2604,3511,1535,4685,0,1976,1609,3244,3636,3095,2893,1082,2159,2355,2860,2562,1912,1010,1603,633,1524,1828,2238,2941,2108,819,2584,2434,1771,711,1681
"호프",0,7372,1157,2857,2523,7660,4894,2404,3354,3794,5466,2444,779,3502,3325,2186,3408,76,2746,0,0,2689,7693,2479,1796,0,579,3445,0,0,1330,0,1576,839,0,0,569,0,0,1085,1680,0,0,321,1513,575,580,1074,2495,731,733,303,1163,0,1107,0,0,619,691,553,1076,856,920,475,0,0,1826,1730,0,0,0,109,712,565,1409,14,667,0,1831,825,0,863,0,0,0,0,1046,2251,0,1305,695,1502,0,644,1508,1307,613,0,1249,1335,0,277,495,1559,891,1063,534,0,550,3274,423,4474,672,1302,1658,0,0,2166,325,1818,378,950,861,1235,1045,93,587,2060,1680,0,1738,1820,372,1060,5176,2467,685,1406,0,0,0,852,1369,1857,1072,370,530,1227,1015,0,0,438,2029,0,0,162,357,3304,1382,650,1058,1585,392,0,0,1729,955,435,1366,1808,2271,0,2369,0,2161,0,2716,1846,331,4490,1417,1298,3325,934,0,1131,1712,1704,486,0,1426,0,2669,1273,0,714,0,0,407,0,1488,1334,636,888,141,1159,1317,1300,706,1120,1957,718,510,425,930,542,0,0,0,6221,2709,0,8506,0,0,1026,1321,4644,0,2523,0,3930,1620,1950,0,0,1529,0,3302,2558,2180,710,3150,0,1174,1054,2578,1739,0,0,0,167,144,0,0,2613,1373,1004,0,0,90,1113,1101,428,0,0,0,666,0,0,5720,1694,1632,459,2054,386,389,1111,3238,0,1276,1071,1119,431,935,0,0,0,0,0,0,0,2710,1482,0,253,0,0,1839,882,0,329,700,312,569,650,627,0,1194,935,3934,0,513,1322,0,535,2861,1484,1485,1302,0,0,0,5442,0,301,6649,2146,0,384,93,3482,333,2600,0,4011,2323,1541,959,3400,670,0,1482,1710,323,2285,1381,1175,299,23,977,2287,647,2246,89,1360,82,1538,5019,0,1692,299,2180,691,0,991,2415,3846,2560,1125,1344,0,616,502,1479,3007,1288,1196,4432,5784,2111,668,3870,3674,1241,572,323,1000,565,2874,1322,653,566,1241,0,75,0,1077,586,739,3072,1491,1016,2623,234,531